Sl No.,Latitude,Longitude,Ward,Street Name,Type_of_House,Presence_of_well_,Presence_of_overhead,Source_of_drinking,Processed_for_Drinking,Presence_of_farml,If_yes_chemical_f,Crops_grown_in_Na,Specify_the_veget,Fuel_used_for_cook,Vessel_largely_use,Use_of_insectmosq,Grey Water Discharge,Presence of Toilet,Presence_of_septi
472,11.342114,77.53618,8,Durgaiamman Kovil Veethi,Tiled (Ottu),Open well,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Rice, Other crops, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
473,11.342336,77.536463,8,Durgaiamman Kovil Veethi,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Nil,No,,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
474,11.342317,77.535952,8,Durgaiamman Kovil Veethi,Tiled (Ottu),Open well,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
475,11.340975,77.533807,8,Pappangkadu Veeramathi Veethi,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Nil,No,,Vegetables,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
476,11.341115,77.529875,8,Durgaiamman Kovil Veethi,Tiled (Ottu),Bore well,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Vegetables, Coconut, Ground nut, Other crops",Brinjal,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
477,11.345048,77.532384,8,Durgaiamman Kovil Veethi,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,No/ Not known,"Rice, Vegetables",,"LPG, Firewood",SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
478,11.341097,77.533772,8,Pappangkadu Veeramathi Veethi,Tiled (Ottu),Nil,Yes,Panchayat water - Overhead tank,Nil,No,,"Vegetables, Coconut, Banana",,"LPG, Firewood",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
479,11.341478,77.530234,8,Pappangkadu Veeramathi Veethi,Tiled (Ottu),Nil,Yes,Panchayat water - Overhead tank,Nil,No,,"Vegetables, Coconut, Banana, Corn, Ground nut, Other crops, Rice",,"LPG, Firewood",SS pot,No,Directly to soakpit/ sewage canal,No,No
480,11.33998,77.527725,8,Durgaiamman Kovil Veethi,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Nil,No,,"Rice, Vegetables",,"LPG, Firewood",Aluminium pot,No,Directly to ground,No,No
481,11.341739,77.533563,8,Pappangkadu Veeramathi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,"Rice, Vegetables",,"LPG, Firewood",Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
482,11.343424,77.529379,8,Old Thasamputhur,Tiled (Ottu),Both,Yes,Bore well,Nil,Yes,Yes,"Rice, Banana, Other crops",Sugarcane,"LPG, Gobar gas",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
483,11.338853,77.527376,9,Thasamputhur Kotthukarar Veethi,Tiled (Ottu),Open well,No,Bore well,Boiling,Yes,Yes,"Banana, Ground nut",Nil,Firewood,Aluminium pot,No,Directly to ground,Yes,Yes
484,11.33998,77.527725,9,Aathikkattur Kamarajar Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,"Ground nut, Corn",Tomato,"Firewood, LPG",Pressure cooker,No,Farming/ Gardening,Yes,Yes
485,11.336742,77.519107,9,Masammavur Pomman Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Vegetables, Rice",,"Firewood, LPG",Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
486,11.338331,77.520863,9,Masammavur Pomman Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Vegetables, Ground nut, Other crops",,"Firewood, LPG",SS pot,No,Directly to soakpit/ sewage canal,No,No
487,11.344307,77.523096,9,Aathikkattur Kamarajar Veethi,Tiled (Ottu),Open well,Yes,Bore well,Nil,Yes,No/ Not known,"Vegetables, Other crops",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,No
488,11.344308,77.523069,9,Aathikkattur Kamarajar Veethi,Tiled (Ottu),Open well,Yes,Bore well,Boiling,Yes,Yes,"Banana, Vegetables",Brinjal,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
489,,,9,Aathikkattur Kamarajar Veethi,Tiled (Ottu),Bore well,Yes,Bore well,Nil,Yes,No/ Not known,Nil,Both crop and market,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
490,11.339571,77.526292,9,Masammavur Pomman Veethi,Tiled (Ottu),Open well,No,Open well,Nil,Yes,No/ Not known,Vegetables,,LPG,Pressure cooker,No,Farming/ Gardening,Yes,No
491,11.340849,77.519683,9,Masammavur Pomman Veethi,Tiled (Ottu),Open well,No,Open well,Nil,Yes,Yes,"Rice, Vegetables, Banana, Corn, Ground nut",Tapioca,LPG,Pressure cooker,No,Directly to ground,No,No
492,11.341828,77.519408,9,Masammavur Pomman Veethi,Tiled (Ottu),Open well,Yes,Open well,Nil,Yes,Yes,"Banana, Coconut, Other crops",Small crops,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
493,11.344462,77.510524,9,Masammavur Pomman Veethi,Tiled (Ottu),Nil,No,Open well,Nil,Yes,Yes,Ground nut,Ground nut,LPG,Pressure cooker,No,Directly to ground,No,No
