Sl No.,Latitude,Longitude,Ward,Street Name,Type_of_House,Presence_of_well_,Presence_of_overhead,Source_of_drinking,Processed_for_Drinking,Presence_of_farml,If_yes_chemical_f,Crops_grown_in_Na,Specify_the_veget,Fuel_used_for_cook,Vessel_largely_use,Use_of_insectmosq,Grey Water Discharge,Presence of Toilet,Presence_of_septi
382,11.341988,77.538346,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",Ladies finger,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
383,11.341331,77.537736,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Personal RO,No,,"Rice, Vegetables, Corn, Ground nut, Banana, Coconut, Other crops",Brinjal,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
384,11.342755,77.537934,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Vegetables,,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
385,11.343813,77.544208,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,Nil,No,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
386,11.342219,77.538078,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Open well,No,Panchyat water - Piped,Nil,No,,Nil,,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
387,11.342315,77.53806,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Vegetables, Coconut, Corn, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
388,11.342305,77.538192,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Personal RO,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",Ladies finger,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
389,11.342307,77.537941,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Vegetables,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
390,11.34214,77.538099,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",Spinach,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
391,11.344214,77.54787,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Bore well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Banana,Corn,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
392,11.342269,77.540625,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Vegetables,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
393,11.342401,77.537892,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Nil,No,LPG,Aluminium pot,Yes,Farming/ Gardening,No,No
394,11.341853,77.53813,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",Brinjal,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,No
395,11.341272,77.537955,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Vegetables,,LPG,Earthern pot,No,Directly to soakpit/ sewage canal,No,No
396,11.341425,77.538379,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Vegetables, Coconut, Banana",Brinjal,LPG,SS pot,Yes,Directly to soakpit/ sewage canal,No,No
397,11.34183,77.538475,4,Pattaththarasiamman Kovil Street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Nil,,"LPG, Kerosene",Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
398,11.342059,77.537598,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Vegetables, Coconut, Banana",,Firewood,Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
399,11.342269,77.540625,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut",,Firewood,Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
400,11.342178,77.537559,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,No,,Nil,,Firewood,Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
401,,,5,Gandhi Veethi,Tiled (Ottu),Open well,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Banana, Coconut, Vegetables",,"Firewood, LPG",Aluminium pot,No,Directly to ground,Yes,Yes
402,,,5,Gandhi Veethi,Tiled (Ottu),Open well,No,Panchyat water - Piped,Boiling,No,,"Vegetables, Coconut, Banana",Spinach,"Firewood, LPG",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
403,11.344038,77.541342,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut",,Kerosene,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
404,11.344038,77.541342,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Open well,Nil,Yes,No/ Not known,"Vegetables, Coconut, Banana",,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
405,,,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Coconut, Banana",,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,No
406,11.343813,77.544208,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Banana,mango,LPG,Pressure cooker,No,Directly to ground,No,No
407,,,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
408,11.344038,77.541342,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana",,LPG,Aluminium pot,Yes,Directly to soakpit/ sewage canal,No,No
409,,,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Coconut, Banana, Vegetables",Spinach,LPG,Aluminium pot,No,Directly to ground,No,No
410,11.351507,77.537042,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Coconut, Vegetables",,LPG,Aluminium pot,Yes,Directly to ground,No,No
411,,,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Banana,,LPG,Pressure cooker,No,Directly to ground,No,No
412,,,5,Gandhi Veethi,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Personal RO,No,,"Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
413,11.344341,77.544052,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
414,11.340817,77.536862,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,"Coconut, Banana",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
415,11.342185,77.537567,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,No,,"Vegetables, Coconut, Banana",Spinach,LPG,Aluminium pot,Yes,Directly to ground,Yes,Yes
416,11.341537,77.537638,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,Nil,,LPG,SS pot,Yes,Directly to ground,No,No
417,11.341838,77.536491,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
418,,,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Coconut, Banana",,LPG,Aluminium pot,Yes,Farming/ Gardening,Yes,No
419,11.341312,77.537639,5,Pattatharasiamman kovil street,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Banana, Vegetables",,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,No,No
420,11.34172,77.536804,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,No
421,11.343813,77.544208,5,Gandhi Veethi,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Boiling,Yes,Yes,Vegetables,,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
422,11.351507,77.537042,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Coconut, Banana",,LPG,Pressure cooker,Yes,Directly to ground,Yes,Yes
423,,,5,Gandhi Veethi,Tiled (Ottu),Open well,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Coconut, Banana",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
